idx,pit
1,0.85
2,0.95
3,0.665
4,0.615
5,0.625
6,0.66
7,0.2
8,0.73
9,0.415
10,0.86
11,0.93
12,0.11
13,0.165
14,0.17
15,0.695
16,0.395
17,0.415
18,0.785
19,0.5
20,0.895
21,0.175
22,0.215
23,0.39
24,0.19
25,0.1
26,0.655
27,0.325
28,0.395
