from,to,direct_included,n_indirect_paths,median,q2.5,q97.5,n_draws,nonzero_95,median_std,q2.5_std,q97.5_std,nonzero_95_std,from_label,to_label
defor,cyc_log1p,TRUE,1,0.016835451858758513,-0.0016494947094654873,0.03511245706246381,12000,FALSE,0.35870071717693314,-0.03514458300428764,0.7481155620778696,FALSE,deforestation,cyclopoids
defor,eutroph,TRUE,0,0.03276324389776331,0.01584891316034664,0.04970369147027093,12000,TRUE,0.45044741338067434,0.21789972812980363,0.683354167496921,TRUE,deforestation,eutrophication composite
eutroph,cyc_log1p,TRUE,0,-0.03586464463824276,-0.46907582900590433,0.405748073599897,12000,FALSE,-0.05557977665243568,-0.7269312179773955,0.6287916006225135,FALSE,eutrophication composite,cyclopoids
