from,to,from_label,to_label,median_raw,q2.5_raw,q97.5_raw,nonzero_95_raw,median_std,q2.5_std,q97.5_std,nonzero_95_std,label_std
defor,eutroph,deforestation,eutrophication composite,0.03276324389776331,0.01584891316034664,0.04970369147027093,TRUE,0.45044741338067434,0.21789972812980363,0.6833541674969211,TRUE,0.450
eutroph,cyc_log1p,eutrophication composite,cyclopoids,-0.03586464463824276,-0.46907582900590433,0.405748073599897,FALSE,-0.055579776652435686,-0.7269312179773955,0.6287916006225135,FALSE,-0.056
defor,cyc_log1p,deforestation,cyclopoids,0.018008317550132727,-0.005259016540040613,0.04047794552608009,FALSE,0.3836901126608019,-0.11205003705181393,0.8624341188977424,FALSE,0.384
