variable,rhat,ess_bulk,ess_tail
b_Intercept,1.0003933779662018,6006.1554431818495,6261.480873601606
b_defor,1.0005754108607365,5740.596451758505,6497.3324253777455
b_eutroph,1.0015633569166085,5997.831814290614,6254.368054652643
sigma,1.0004274236650679,6750.220732957402,7209.572386760004
Intercept,1.0006381615287534,7220.539839920248,6606.148985393736
lprior,1.0002820126856122,6235.48602734853,6839.565351901331
lp__,1.0002821073693051,4169.353436397446,5776.904913057363
