Parameter,Term,Mean,SD,Q2.5,Q97.5
b_Intercept,Intercept,-0.9549542971731221,0.27520805757069366,-1.4927269202296916,-0.4114941703491539
b_defor,deforestation (% forest loss),0.0328049664928903,0.008570162489906299,0.01584891316034664,0.04970369147027093
