idx,pit
1,0.83
2,0.935
3,0.645
4,0.635
5,0.535
6,0.69
7,0.145
8,0.82
9,0.46
10,0.825
11,0.945
12,0.05
13,0.15
14,0.155
15,0.68
16,0.475
17,0.43
18,0.74
19,0.535
20,0.935
21,0.15
22,0.22
23,0.335
24,0.12
25,0.095
26,0.67
27,0.345
28,0.4
