variable,rhat,ess_bulk,ess_tail
b_Intercept,0.9999077292749569,7996.037567424458,6912.6112773294735
b_defor,0.9999945513952628,8397.769772428623,6809.924453288921
sigma,1.0003385185720202,6887.990849411291,6868.734566483785
Intercept,1.000126172119902,6978.994032663691,6324.22498778722
lprior,1.000310210084591,6373.988470369228,6173.4959640333655
lp__,1.0002458671380796,4502.240176320026,5223.884046373169
