idx,pit
1,0.85
2,0.75
3,0.23
4,0.4
5,0.065
6,0.415
7,0.54
8,0.575
9,0.99
10,0.76
11,0.27
12,0.565
13,0.09
14,0.94
15,0.235
16,0.175
17,0.46
18,0.165
19,0.655
20,0.57
21,0.57
22,0.05
23,0.2
24,0.365
25,0.9
26,0.75
27,0.825
28,0.34
