variable,rhat,ess_bulk,ess_tail
b_Intercept,1.000167135644634,7216.417414626541,7431.7289965202035
b_eutroph,1.0005986615615714,7864.93093780105,7962.104755746517
b_cal_log1p,0.9999781113078415,7298.465519653325,7136.991724544389
b_defor,1.000356038958296,8041.9803603232285,8350.969278031893
sigma,1.0000854871212554,7076.001316371883,7933.74534677265
Intercept,1.0005017121317386,9493.18829732561,7989.528484776874
lprior,1.0001278306080246,6653.669298173816,7910.886346027427
lp__,1.0003250495115346,4819.543781501904,6755.1864889891285
