idx,pit
1,0.845
2,0.975
3,0.675
4,0.54
5,0.555
6,0.635
7,0.16
8,0.805
9,0.48
10,0.855
11,0.89
12,0.085
13,0.14
14,0.145
15,0.67
16,0.36
17,0.48
18,0.78
19,0.565
20,0.93
21,0.205
22,0.255
23,0.285
24,0.15
25,0.11
26,0.61
27,0.275
28,0.435
