variable,rhat,ess_bulk,ess_tail
b_Intercept,1.0006666337801684,8349.097786966784,6483.876372512701
b_defor,1.0002866675422692,8604.806923287806,6773.810468072006
sigma,1.0001882991141307,7332.715951611511,6642.7856579147365
Intercept,1.0005423286675683,7623.186265790328,6634.646268839536
lprior,1.000108758936946,6742.368949048485,6323.160547757806
lp__,1.000058391012259,4621.501965208887,5327.602324301313
