idx,pit
1,0.23
2,0.225
3,0.405
4,0.665
5,0.175
6,0.465
7,0.535
8,0.465
9,0.63
10,0.545
11,0.965
12,0.2
13,0.325
14,0.795
15,0.34
16,0.09
17,0.345
18,0.93
19,0.95
20,0.575
21,0.905
22,0.715
23,0.6
24,0.485
25,0.765
26,0.165
27,0.355
28,0.43
29,0.325
30,0.295
31,0.895
32,0.445
33,0.28
34,0.185
35,0.99
36,0.23
37,0.335
38,0.155
39,0.135
