path,median,q2.5,q97.5,n_draws,nonzero_95,median_std,q2.5_std,q97.5_std,n_draws_std,nonzero_95_std
deforestation -> eutrophication composite,0.03276324389776331,0.01584891316034664,0.04970369147027093,12000,TRUE,0.45044741338067434,0.21789972812980363,0.6833541674969211,12000,TRUE
eutrophication composite -> calanoids,0.09293008273934601,-0.08568933856094564,0.2704809294972383,12000,FALSE,0.17211098304129424,-0.15870077655314935,0.5009436911862615,12000,FALSE
eutrophication composite -> cyclopoids,-0.03393780907064265,-0.4776875379939287,0.41277313175271346,12000,FALSE,-0.052593741475636835,-0.7402768642811035,0.6396783992243759,12000,FALSE
calanoids -> cyclopoids,-0.01693923053050265,-0.6666877787757287,0.6509202862287948,12000,FALSE,-0.014173975650798747,-0.5578539312063945,0.5446604124670424,12000,FALSE
deforestation -> cyclopoids,0.0180688079297529,-0.005577144594381721,0.04118823132953348,12000,FALSE,0.38497893714464093,-0.11882815992036597,0.8775676614504944,12000,FALSE
