variable,rhat,ess_bulk,ess_tail
b_Intercept,1.0003428740410125,7901.9282930526915,6946.990669464511
b_eutroph,1.0011033645665888,7537.985011545047,7158.242171173458
sigma,1.0004175315483088,7626.5244160628135,6985.823481926804
Intercept,1.0003428740410125,7901.9282930526915,6946.990669464511
lprior,1.0002338359721905,7543.952540835479,6743.280758747139
lp__,1.0003760859360151,4734.465839658563,5344.806713941818
