Parameter,Term,Mean,SD,Q2.5,Q97.5
b_Intercept,Intercept,13.085896164106348,1.0524997626513584,10.996945226117523,15.167934898670863
b_defor,deforestation (% forest loss),-0.050753431212936274,0.03314741041871338,-0.11547578409323568,0.014612982466526606
