idx,pit
1,0.855
2,0.525
3,0.18
4,0.46
5,0.79
6,0.73
7,0.5
8,0.61
9,0.34
10,0.46
11,0.585
12,0.575
13,0.76
14,0.2
15,0.685
16,0
17,0.04
18,0.52
19,0.635
20,0.415
21,0.1
22,0.535
23,0.595
24,0.565
25,0.775
26,0.435
27,0.635
28,0.455
29,0.75
30,0.75
31,0.545
32,0.14
33,0.7
34,0.64
35,0.865
36,0.595
37,0.4
38,0.3
39,0.915
