idx,pit
1,0.61
2,0.72
3,0.44
4,0.09
5,0.56
6,0.57
7,0.285
8,0.31
9,0.15
10,0.14
11,0.855
12,0.575
13,0.76
14,0.495
15,0.655
16,0.65
17,0.065
18,0.565
19,0.365
20,0.775
21,0.23
22,0.575
23,0.65
24,0.715
25,0.5
26,0.185
27,0.135
28,0.09
29,0.335
30,0.78
31,0.585
32,0.07
33,0.075
34,0.335
35,1
36,0.915
37,0.695
38,0.455
39,0.95
