idx,pit
1,0.24
2,0.165
3,0.495
4,0.71
5,0.195
6,0.37
7,0.36
8,0.495
9,0.655
10,0.695
11,0.965
12,0.225
13,0.3
14,0.77
15,0.335
16,0.38
17,0.565
18,0.91
19,0.94
20,0.51
21,0.91
22,0.715
23,0.715
24,0.38
25,0.695
26,0.16
27,0.28
28,0.435
29,0.345
30,0.25
31,0.965
32,0.45
33,0.315
34,0.2
35,1
36,0.165
37,0.16
38,0.135
39,0.145
