variable,rhat,ess_bulk,ess_tail
b_Intercept,1.0001106298161335,12135.501654051399,8370.857143793794
b_oxy,0.9998321355692588,8149.492121754876,7654.421566022283
b_pH,1.0002331325798595,7268.092527381717,7429.391840279124
sigma,1.0003147637978191,8580.923193422068,7832.314370574741
Intercept,1.0004454963932614,8714.31994780798,7884.5655270893085
lprior,1.0001506116301513,8169.193306579853,7324.755465719264
lp__,0.99999150791289,5130.758021925184,6913.109378110934
