variable,rhat,ess_bulk,ess_tail
b_Intercept,1.0000673855574886,8323.156347829608,7375.6741889391315
b_defor,1.0007759265830762,8505.311477936726,7137.5971929607285
sigma,1.0000210236797014,8106.41466786678,7355.102027338314
Intercept,1.0002044210240097,8537.265612014346,6816.903646595205
lprior,1.0000782780175754,7638.110633214511,6910.010841792394
lp__,1.0002875362578365,5050.046357275088,6733.413913185505
