variable,rhat,ess_bulk,ess_tail
b_Intercept,1.0000706811721767,8099.70585548285,6896.965355766859
b_chl_log1p,1.0002228338263561,8472.335158398433,7155.032078726027
sigma,1.0000782939179504,8617.800999228755,7280.286976957235
Intercept,1.0003099746284858,7594.383412186548,6772.969829437855
lprior,1.0000139472884677,7940.3935762750225,6834.3349753597395
lp__,1.0003907836873842,4586.128951189239,6078.045235892216
