idx,pit
1,0.135
2,0.305
3,0.95
4,0.98
5,0.85
6,0.54
7,0.595
8,0.685
9,0.26
10,0.86
11,0.225
12,0.835
13,0.9
14,0.08
15,0.245
16,0.25
17,0.475
18,0.71
19,0.155
20,0.26
21,0.665
22,0.765
23,0.7
24,0.92
25,0.07
26,0.145
27,0.435
28,0.44
29,0.63
30,0.175
31,0.1
32,0.16
33,0.595
34,0.415
35,0.83
36,0.93
37,0.265
38,0.31
39,0.21
