idx,pit
1,0.315
2,0.54
3,0.63
4,0.38
5,0.195
6,0.115
7,0.65
8,0.395
9,0.595
10,0.825
11,0.705
12,0.985
13,0.345
14,0.035
15,0.62
16,0.67
17,1
18,0.605
19,0.37
20,0.425
21,0.145
22,0.435
23,0.195
24,0.28
25,0.89
26,0.26
27,0.26
28,0.695
