from,to,direct_included,n_indirect_paths,median,q2.5,q97.5,n_draws,nonzero_95,median_std,q2.5_std,q97.5_std,nonzero_95_std,from_label,to_label
cal_log1p,cyc_log1p,TRUE,0,-0.01693923053050265,-0.6666877787757287,0.6509202862287948,12000,FALSE,-0.014173975650798748,-0.5578539312063945,0.5446604124670423,FALSE,calanoids,cyclopoids
defor,cal_log1p,FALSE,1,0.0028417457236525343,-0.002816584574328108,0.009756480316315997,12000,FALSE,0.07235935367661264,-0.07171867548794765,0.24842919757782647,FALSE,deforestation,calanoids
defor,cyc_log1p,TRUE,2,0.016933215520406022,-0.0019097494471493784,0.0354433784382243,12000,FALSE,0.36078369634737695,-0.040689641244428656,0.7551662629328462,FALSE,deforestation,cyclopoids
defor,eutroph,TRUE,0,0.03276324389776331,0.01584891316034664,0.04970369147027093,12000,TRUE,0.45044741338067434,0.21789972812980363,0.683354167496921,TRUE,deforestation,eutrophication composite
eutroph,cal_log1p,TRUE,0,0.09293008273934601,-0.08568933856094564,0.2704809294972383,12000,FALSE,0.17211098304129424,-0.1587007765531494,0.5009436911862616,FALSE,eutrophication composite,calanoids
eutroph,cyc_log1p,TRUE,1,-0.03601827105596245,-0.48260508123688955,0.41126591928557116,12000,FALSE,-0.055817852954902915,-0.7478976272324537,0.6373426579076416,FALSE,eutrophication composite,cyclopoids
