var,sd,n
cal,1.7819597923688246,39
cal_log1p,0.539942780508374,39
chl,0.3462903171391357,39
chl_log1p,0.20371512198949546,39
crown_closure,14.309529738541649,28
cyc,2.207534497318262,39
cyc_log1p,0.6452822734880683,39
defor,13.748559659912845,28
eutroph,0.9999999999999999,39
fdom,6.703966621539782,39
oxy,11.388813078708335,39
pH,0.5503241951072255,39
temp,2.3332997642429656,39
thermo,3.5904996589849065,38
