idx,pit
1,0.22
2,0.205
3,0.355
4,0.68
5,0.145
6,0.38
7,0.405
8,0.44
9,0.685
10,0.615
11,0.925
12,0.22
13,0.355
14,0.775
15,0.38
16,0.125
17,0.33
18,0.92
19,0.96
20,0.6
21,0.89
22,0.625
23,0.555
24,0.48
25,0.75
26,0.145
27,0.365
28,0.41
29,0.32
30,0.29
31,0.89
32,0.4
33,0.26
34,0.21
35,0.99
36,0.25
37,0.25
38,0.15
39,0.13
