idx,pit
1,0.865
2,0.94
3,0.685
4,0.595
5,0.515
6,0.645
7,0.135
8,0.755
9,0.45
10,0.865
11,0.92
12,0.085
13,0.17
14,0.225
15,0.69
16,0.445
17,0.475
18,0.73
19,0.515
20,0.875
21,0.155
22,0.25
23,0.29
24,0.125
25,0.105
26,0.65
27,0.33
28,0.47
