idx,pit
1,0.86
2,0.73
3,0.29
4,0.28
5,0.11
6,0.435
7,0.46
8,0.545
9,0.985
10,0.78
11,0.23
12,0.545
13,0.105
14,0.965
15,0.22
16,0.15
17,0.515
18,0.26
19,0.68
20,0.585
21,0.56
22,0.065
23,0.215
24,0.365
25,0.89
26,0.77
27,0.85
28,0.29
