idx,pit
1,0.77
2,0.655
3,0.69
4,0.605
5,0.1
6,0.66
7,0.32
8,0.425
9,0.97
10,0.765
11,0.325
12,0.08
13,0.34
14,0.815
15,0.32
16,0.11
17,0.04
18,0.26
19,0.94
20,0.67
21,0.715
22,0.195
23,0.245
24,0.73
25,0.29
26,0.615
27,0.91
28,0.175
