Parameter,Term,Mean,SD,Q2.5,Q97.5
b_Intercept,Intercept,0.30847610434127865,0.0741912755216373,0.16089201820075374,0.45417909572028164
b_defor,deforestation (% forest loss),0.0048155115177141335,0.002338300981282749,1.2930357630789224e-4,0.009467656905453413
