idx,pit
1,0.37
2,0.5
3,0.6
4,0.425
5,0.215
6,0.13
7,0.63
8,0.455
9,0.635
10,0.8
11,0.68
12,0.975
13,0.355
14,0.045
15,0.635
16,0.655
17,0.99
18,0.525
19,0.385
20,0.47
21,0.14
22,0.44
23,0.155
24,0.33
25,0.845
26,0.205
27,0.28
28,0.66
