variable,rhat,ess_bulk,ess_tail
b_Intercept,1.0008112761011032,11074.858759788774,7597.60193317259
b_pH,1.0009434959588337,11054.17841468931,7811.091202938223
b_cal_log1p,1.0001329036820656,10463.456829510902,7225.092432021351
sigma,1.0013616062435682,8217.042853535855,6990.899759203582
Intercept,1.0004096148251873,9963.455534738956,7002.216582560341
lprior,1.0009678538942837,7531.388943369922,7279.614952254627
lp__,1.0011787391904652,4317.833113500718,5600.59541241342
