idx,pit
1,0.11
2,0.27
3,0.875
4,0.985
5,0.87
6,0.56
7,0.6
8,0.735
9,0.24
10,0.865
11,0.265
12,0.845
13,0.89
14,0.1
15,0.215
16,0.32
17,0.465
18,0.66
19,0.095
20,0.295
21,0.625
22,0.715
23,0.655
24,0.875
25,0.105
26,0.15
27,0.485
28,0.5
29,0.69
30,0.155
31,0.115
32,0.15
33,0.565
34,0.375
35,0.815
36,0.925
37,0.26
38,0.355
39,0.21
