variable,rhat,ess_bulk,ess_tail
b_Intercept,1.000605428062148,9057.052684820303,7495.183244686932
b_temp,1.000758849041504,9596.100825851661,7557.388977445949
b_chl_log1p,1.000248618283936,10316.261912252565,7960.372163351499
sigma,1.0005617783474043,8166.396486375749,7446.456081707268
Intercept,1.000034617388056,10217.811520563875,7247.465907483271
lprior,1.0005478529466392,8139.025922429043,7457.928455308749
lp__,1.0010078033514855,4969.090166456838,7045.634139065986
