idx,pit
1,0.68
2,0.765
3,0.435
4,0.09
5,0.58
6,0.62
7,0.295
8,0.265
9,0.235
10,0.12
11,0.855
12,0.64
13,0.775
14,0.42
15,0.67
16,0.69
17,0.07
18,0.595
19,0.37
20,0.745
21,0.3
22,0.56
23,0.665
24,0.8
25,0.52
26,0.235
27,0.19
28,0.075
29,0.375
30,0.8
31,0.545
32,0.09
33,0.09
34,0.4
35,1
36,0.955
37,0.71
38,0.475
39,0.96
