idx,pit
1,0.825
2,0.49
3,0.19
4,0.495
5,0.81
6,0.745
7,0.54
8,0.7
9,0.325
10,0.5
11,0.6
12,0.56
13,0.69
14,0.15
15,0.605
16,0
17,0.035
18,0.525
19,0.57
20,0.375
21,0.135
22,0.545
23,0.56
24,0.58
25,0.765
26,0.385
27,0.68
28,0.515
29,0.77
30,0.795
31,0.515
32,0.115
33,0.635
34,0.625
35,0.89
36,0.625
37,0.35
38,0.375
39,0.93
