idx,pit
1,0.19
2,0.14
3,0.505
4,0.8
5,0.22
6,0.36
7,0.38
8,0.5
9,0.705
10,0.63
11,0.965
12,0.27
13,0.375
14,0.8
15,0.285
16,0.37
17,0.555
18,0.875
19,0.96
20,0.44
21,0.875
22,0.61
23,0.7
24,0.365
25,0.715
26,0.125
27,0.325
28,0.415
29,0.31
30,0.295
31,0.94
32,0.45
33,0.3
34,0.26
35,0.995
36,0.12
37,0.18
38,0.11
39,0.17
