"SampleID","LakeID","Depth_Tow_m","DilutionVolume","No2mlSubsamplesCounted","Calanoids_density_per_L","Cyclopoids_density_per_L","Nauplii_density_per_L","Daphnia_density_per_L","Bosmina_density_per_L","Chydorus_density_per_L","Diaphanosoma_density_per_L","Holopedium_density_per_L","Chaoborus_density_per_L","WaterMites_density_per_L","Brachionus.Keratella_density_per_L","ConochilusColonies_density_per_L","Asplanchna_density_per_L","Ciliate_density_per_L","Amoeboid_density_per_L","Rotifers..other._density_per_L","Polyphemidae_density_per_L","diversity_shannon","diversity_simpson","diversity_invsimpson","diversity_richness","MaxDepth","SurfaceArea_m2","Volume_m3","MeanDepth","depth_ratio","MaxDepth_bathy","max_depth_sonde_m","MaxDepth_source","MaxDepth_lower_bound_m","MaxDepth_missing_both","DFO_m","Lake_Level_m","Latitude","Longitude","landuse_avg_chlorophyll","landuse_mean_cover_pattern","landuse_mean_crown_closure","landuse_elevation","landuse_mean_height","landuse_loose_road_density","landuse_paved_road_density","landuse_mean_forest_age","n_samples_lake","depth_rank","zoop_sample_type","MatchID","deployment_id","sonde_deployment_type","integrated_temp","integrated_pH","integrated_DO_percent","integrated_DO_mgL","integrated_chl","integrated_phyco","integrated_fDOM","thermocline_depth_m","oxygen_threshold_depth_m","epilimnion_depth_m","refuge_bottom_depth_m","refuge_is_bottom_bounded","refuge_thickness_m","refuge_m","surface_temp","surface_pH","surface_DO_percent","surface_chl","bottom_temp","bottom_DO_percent","bottom_DO_mgL","min_DO_mgL","max_depth_sampled","n_depth_points","depth_range","fallback_temp","fallback_pH","fallback_DO_percent","fallback_chl","final_temp","final_pH","final_DO_percent","final_chl","sonde_match_quality","infection_lake_code","infection_month","infection_year","infection_raw_cope_copies","infection_adjusted_cope_copies","infection_cope_counts","infection_raw_worm_copies","infection_adjusted_worm_copies","infection_worm_counts","infection_burden"
"amor_zoop_2","amor",20.5,100,5,0.211792952734535,0.173285143146438,0.808664001350043,0.115523428764292,0.192539047940486,0,0,0.250300762322632,0,0.0192539047940486,9.62695239702432,0.327316381498827,0,0,0,9.62695239702432,0.0962695239702432,1.02197114254266,0.564193375473379,2.29459568469436,10,48.8,3622100,52882660,14.6,0.2991803279,48.8,19.091,"bathymetry",NA,FALSE,32459.38,209,50.1660995,-125.5540009,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"single","amor_single",NA,"deep",10.971076789992,7.3298485493745,113.344154910833,12.6427354272026,0.543309555496407,0.0615121107266436,3.8053729039127,5.36380749500517,NA,3.50406840623161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0840445353469,7.40284971328374,115.377722450257,0.431727017170288,10.971076789992,7.3298485493745,113.344154910833,0.543309555496407,"deployment_matched","AMO","JUNE",2023,573,57300,16.80573683,0,0,0,0
"anutz_zoop_3","anutz",1.5,100,5,0.526273397703996,1.05254679540799,0.526273397703996,0,2.36823028966798,0,0.526273397703996,0,0.263136698851998,0,0,0.526273397703996,0,0,0,0,0,1.52177818736073,0.725,3.63636363636363,6,41.5,983400,12980880,13.2,0.3180722892,41.5,20.087,"bathymetry",NA,FALSE,11750.96,23,50.3013,-126.9229965,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"shallow","anutz_shallow","anutz_2","shallow",13.1245368687127,7.75208012051269,109.709000153194,11.6357904815401,0.289978552826431,0.015491242404126,3.6472435275494,10.2626952972581,NA,8.47102009691428,20.052,TRUE,11.5809799030857,11.5809799030857,19.1883143989432,8.01816380449141,115.091809775429,0.096327608982827,6.43477131591917,102.534967964515,12.6211237062592,10.42,20.052,21,19.583,13.0920444110492,7.66290950940671,109.786611581294,0.319632738603266,13.1245368687127,7.75208012051269,109.709000153194,0.289978552826431,"deployment_matched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anutz_zoop_4","anutz",28.5,100,5,0.0969450995770519,0.553971997583154,0.553971997583154,0,0.789410096555994,0,0,0,0,0,0,0,0,0,0,0.761711496676836,0,1.21963504082212,0.686602586922986,3.19083680424082,4,41.5,983400,12980880,13.2,0.3180722892,41.5,20.087,"bathymetry",NA,FALSE,11750.96,23,50.3013,-126.9229965,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"deep","anutz_deep","anutz_1","deep",13.0595519533857,7.57373889830073,109.864223009395,11.6638238615945,0.349286924380102,0.0283197289388572,3.67259818265825,9.78391549095572,NA,8.21778926207883,20.087,TRUE,11.8692107379212,11.8692107379212,19.232288184438,7.84011527377522,114.913976945245,0.131743515850144,6.55714186893204,102.57442961165,12.5920327669903,10.56,20.087,21,19.479,13.0920444110492,7.66290950940671,109.786611581294,0.319632738603266,13.0595519533857,7.57373889830073,109.864223009395,0.349286924380102,"deployment_matched","ANU","JUNE",2023,325,32500,9.532049684,0,0,0,0
"beaver_zoop_5","beaver",2,100,5,1.57882019311199,3.74969795864097,19.9326049380388,0,23.6823028966798,0,0,0,0,0,0.592057572416995,0,0,0,0,6.90733834486495,0,1.03218338675627,0.530781592403214,2.13120368640638,5,13,174000,852600,4.9,0.3769230769,13,10.963,"bathymetry",NA,FALSE,9394.84,83,50.6007004,-127.3150024,0.843478261,1.222910692,60.49356533,94.25351417,18.5789064,0.002329736,0.001422046,91.0796256,2,2,"shallow","beaver_shallow","beaver_1","shallow",13.2280540617849,6.9271760583524,102.018385297483,10.6705091533181,0.926963672768879,0.074295623569794,20.3984146167048,2.63984204469331,NA,0.789359190112692,6.994,TRUE,6.20464080988731,6.20464080988731,20.7273952734013,7.49458294717331,115.222706209453,0.467687673772011,6.887,80.9,9.845,9.65,6.994,9,6.992,11.6619539063721,6.82755267806339,95.5427929940983,0.946703008679144,13.2280540617849,6.9271760583524,102.018385297483,0.926963672768879,"deployment_matched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"beaver_zoop_6","beaver",8,100,5,0.690733834486495,5.52587067589196,5.92057572416995,0,14.5054105242164,0,0,0.246690655173748,0,0,0.148014393104249,0,0,0,0,24.6690655173748,0,1.06251642735893,0.594500130053508,2.46609203631053,6,13,174000,852600,4.9,0.3769230769,13,10.963,"bathymetry",NA,FALSE,9394.84,83,50.6007004,-127.3150024,0.843478261,1.222910692,60.49356533,94.25351417,18.5789064,0.002329736,0.001422046,91.0796256,2,1,"deep","beaver_deep","beaver_2","deep",10.0958537509593,6.72792929777437,89.0672006907138,9.94045519953952,0.966442344589409,0.0912413660782809,22.0792195894091,2.75878515591303,NA,0.5,10.963,TRUE,10.463,10.463,20.5805,7.465,114.7,0.485,5.97132849872774,67.2403307888041,8.37736386768448,7.85,10.963,12,10.424,11.6619539063721,6.82755267806339,95.5427929940983,0.946703008679144,10.0958537509593,6.72792929777437,89.0672006907138,0.966442344589409,"deployment_matched","BEA","JUNE",2023,263,26300,7.713627898,0,0,0,0
"black_zoop_7","black",0.5,100,5,2.36823028966798,24.4717129932358,39.4705048277997,0.789410096555994,2.36823028966798,0,0,2.36823028966798,0,0,11.0517413517839,0,0,0,0,0,0,1.22028015702036,0.608264462809917,2.55274261603376,6,27.2,1299900,14428890,11.1,0.4080882353,27.2,15.543,"bathymetry",NA,FALSE,4985.72,111,48.7737999,-125.0970001,1.193703704,2.491239884,55.90757685,153.017998,17.88429328,0.002827908,0,87.2159065,2,2,"shallow","black_shallow",NA,"single",10.8407364408415,6.23102361191533,99.2771118831628,11.03167149199,0.78260117094512,0.193022904201248,19.9949752300071,4.14184931874402,0.0710187932739861,2.76688133727559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8407364408415,6.23102361191533,99.2771118831628,0.78260117094512,10.8407364408415,6.23102361191533,99.2771118831628,0.78260117094512,"deployment_matched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"black_zoop_8","black",14,100,3,1.64460436782499,10.3845018654092,4.98080179969853,0.0469886962235711,1.55062697537785,0,0,0.751819139577137,0,0,1.87954784894284,0,0,0,0,0.704830443353566,0,1.27571109004237,0.591493312666416,2.44794034224318,7,27.2,1299900,14428890,11.1,0.4080882353,27.2,15.543,"bathymetry",NA,FALSE,4985.72,111,48.7737999,-125.0970001,1.193703704,2.491239884,55.90757685,153.017998,17.88429328,0.002827908,0,87.2159065,2,1,"deep","black_deep",NA,"single",10.8407364408415,6.23102361191533,99.2771118831628,11.03167149199,0.78260117094512,0.193022904201248,19.9949752300071,4.14184931874402,0.0710187932739861,2.76688133727559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8407364408415,6.23102361191533,99.2771118831628,0.78260117094512,10.8407364408415,6.23102361191533,99.2771118831628,0.78260117094512,"deployment_matched","BLA","JUNE",2023,95,9500,2.786291446,33.8,338,0.2114389736,0.07588544762
"blackwater_zoop_9","blackwater",1.5,100,5,0.526273397703996,4.47332388048397,6.05214407359595,0.526273397703996,2.36823028966798,0,0.263136698851998,3.15764038622398,0,0,52.6273397703996,3.94705048277997,0.263136698851998,0,0,131.568349425999,0,0.955955147485335,0.495298404217463,1.98136880952299,10,28,375000,NA,NA,NA,28,13.138,"bathymetry",NA,FALSE,29424.04,189,50.1717987,-125.5899963,0.715769231,2.702773138,56.58043457,223.7860363,24.19070535,0.00115233,6.06072275580903e-05,58.84474613,2,2,"shallow","blackwater_shallow","blackwater_2","shallow",13.3405928304176,7.20841844473658,112.805243199515,11.9235989483264,0.493592375366569,0.0410066740823137,4.98085903529174,4.12010619937699,NA,1.79409556449659,9.963,TRUE,8.1689044355034,8.1689044355034,19.950925349087,7.28,111.617024704619,0.263297529538131,7.56442498816848,109.135683861808,13.0579720776148,10.14,9.963,11,9.889,12.4600592961388,7.1230676106812,111.278662284646,0.655415611183127,13.3405928304176,7.20841844473658,112.805243199515,0.493592375366569,"deployment_matched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"blackwater_zoop_10","blackwater",11,100,5,0.107646831348545,3.98293275989615,3.94705048277997,0.430587325394178,3.15764038622398,0,0.143529108464726,0.609998710975086,0,0,17.9411385580908,0.897056927904539,0,0,0,1.97352524138998,0,1.28997672306021,0.587228725206067,2.42264920324029,9,28,375000,NA,NA,NA,28,13.138,"bathymetry",NA,FALSE,29424.04,189,50.1717987,-125.5899963,0.715769231,2.702773138,56.58043457,223.7860363,24.19070535,0.00115233,6.06072275580903e-05,58.84474613,2,1,"deep","blackwater_deep","blackwater_1","deep",11.5795257618599,7.03771677662583,109.752081369777,12.027136349356,0.817238846999686,0.210342836946277,5.41025251335218,6.02329306645786,NA,4.59371891952253,13.138,TRUE,8.54428108047747,8.54428108047747,19.5094635599159,7.28,110.407848633497,0.273430273300631,7.06154394079556,96.4013876040703,11.6876549491212,10.14,13.138,14,12.732,12.4600592961388,7.1230676106812,111.278662284646,0.655415611183127,11.5795257618599,7.03771677662583,109.752081369777,0.817238846999686,"deployment_matched","BLK","JUNE",2023,329,32900,9.649367219,0,0,0,0
"boot_zoop_11","boot",1.25,100,5,5.05222461795836,9.15715712004953,10.1044492359167,0.315764038622398,1.26305615448959,0,0.947292115867193,0.947292115867193,0,0,0,14.8409098152527,0,0,0,12.6305615448959,0,1.5875861320301,0.758374492640227,4.13863590366323,8,32,986700,11741730,11.9,0.371875,32,18.999,"bathymetry",NA,FALSE,38165.2,236,50.0539017,-125.5309982,0.47475,2.566541241,80.23381257,265.8387248,26.89978039,0.001680383,0,56.0411647,2,2,"shallow","boot_shallow","boot_2","shallow",12.0119552115189,7.39441386340469,112.643883792049,12.2297543960245,0.471961646279307,0.0400611620795107,2.80801095820591,6.49873803672084,NA,5.29310678262737,16.141,TRUE,10.8478932173726,10.8478932173726,17.81886400818,7.53817655078391,111.854703476483,0.0745296523517382,7.22796124794746,101.464712643678,12.2474187192118,10.62,16.141,17,15.696,11.6186251762372,7.28092683322282,111.457997845378,0.517076678342294,12.0119552115189,7.39441386340469,112.643883792049,0.471961646279307,"deployment_matched","BOO","JUNE",2023,180,18000,5.279289056,7.6,76,0.0475424911,0.009005472252
